Model,Property,Size,Mean_AUC,Std_AUC,Mean_Acc,Std_Acc
quantum,gap,50,0.6432169885914378,0.09616930068526836,0.598,0.08032932216818463
quantum,gap,100,0.7178970808926757,0.052548552579157394,0.6484,0.04351367601111173
quantum,gap,150,0.73579254812735,0.12337334185249792,0.67,0.10653074673539088
quantum,gap,200,0.8011489244969422,0.13115923649743158,0.6996,0.10677377955284716
quantum,gap,250,0.8060576721369674,0.08212710861596544,0.704,0.06714759861677855
quantum,gap,300,0.8807377644382048,0.05323826531972595,0.7868,0.05784945980733096
quantum,gap,350,0.8735989414403511,0.04503492014346869,0.7876,0.04492482609871739
quantum,gap,400,0.8821416468993561,0.04746348086697116,0.7692000000000001,0.031738935079803784
quantum,gap,500,0.8977586290361621,0.04315899234959287,0.8088000000000001,0.05980769181301014
quantum,gap,600,0.8922721918316633,0.03550567749466728,0.7992000000000001,0.03236294176987004
quantum,gap,700,0.8938342127769442,0.04878908712561565,0.7951999999999999,0.06482715480414049
quantum,gap,800,0.8667634861467459,0.04400333992067936,0.7891999999999999,0.05236181815025142
quantum,gap,900,0.8910619483306709,0.029450173652960595,0.7852,0.04324072154809631
quantum,gap,1000,0.9040034855012828,0.03492167533285192,0.7968,0.028749956521706237
quantum,gap,1100,0.9000532507140437,0.02605308767267518,0.8016,0.033785203862045865
quantum,gap,1200,0.8893514708492682,0.05578304662538567,0.8028000000000001,0.05290897844411665
quantum,gap,1300,0.917225799164125,0.019118442943202283,0.8288,0.022292599668948417
quantum,gap,1400,0.9058333736747833,0.033134222672454736,0.8196,0.0412291159255204
quantum,gap,1500,0.8983105000726146,0.02181712260600055,0.806,0.03687817782917154
quantum,mu,50,0.5664572702021833,0.01573993478707437,0.5676,0.01777188791321842
quantum,mu,100,0.6585637232736904,0.03140846353045989,0.618,0.02230694958975792
quantum,mu,150,0.6955929849492927,0.021520019024932995,0.6416000000000001,0.009748846085563161
quantum,mu,200,0.6760593630902397,0.050935442455651105,0.616,0.04238867773356466
quantum,mu,250,0.7267892900975389,0.02156126099814654,0.6572,0.022148589119851424
quantum,mu,300,0.7488195207027969,0.04081290690134243,0.6896,0.03903639327601871
quantum,mu,350,0.7318535624313676,0.041766107645999855,0.6652,0.054926860460070004
quantum,mu,400,0.7468816613913829,0.038766994861569655,0.6908000000000001,0.03520454516110099
quantum,mu,500,0.7411068406433692,0.053615390167573135,0.6852,0.046053881486797614
quantum,mu,600,0.751723079904399,0.023274371143580212,0.6856,0.035897632233895305
quantum,mu,700,0.7690572314449969,0.025242888596802564,0.7096,0.03311555525731071
quantum,mu,800,0.732189458045346,0.03571479413340632,0.6648,0.04070577354626736
quantum,mu,900,0.7717863833085717,0.03666131524038268,0.7068,0.03371883746513214
quantum,mu,1000,0.7619711258962599,0.023051412357004884,0.6872,0.024870866490735676
quantum,mu,1100,0.743283702603191,0.029361353353574537,0.6824,0.03238271143681453
quantum,mu,1200,0.7753003681932692,0.02244015748245722,0.7184000000000001,0.03656008752724752
quantum,mu,1300,0.7925117886441445,0.030620672591687745,0.7260000000000001,0.028028556866167748
quantum,mu,1400,0.7576335508042116,0.016068258415345732,0.6708,0.028414081016284853
quantum,mu,1500,0.7608536270266779,0.03527126740319483,0.6948000000000001,0.03848324310657821
classical,gap,50,0.7387342466637621,0.08507159199285977,0.6764,0.051027835541006435
classical,gap,100,0.8621581062109696,0.060161169154150776,0.7604,0.06229478308815272
classical,gap,150,0.9119233189717771,0.008817275389078602,0.8192,0.042229847264701297
classical,gap,200,0.9111471494731408,0.015409375789775253,0.8183999999999999,0.032555183919001265
classical,gap,250,0.9256845944070614,0.004019383361652866,0.8343999999999999,0.0261197243477032
classical,gap,300,0.9298026496264382,0.003992548614767806,0.8448,0.02254240448576857
classical,gap,350,0.926801245743977,0.006265652620241895,0.8427999999999999,0.015104966070799378
classical,gap,400,0.9279566248729244,0.0038394834716086175,0.836,0.02604611295375952
classical,gap,500,0.9286375885494829,0.0039651960719591615,0.8612,0.006144916598294892
classical,gap,600,0.9340691613819366,0.0024604638970268295,0.8564,0.011128342194594855
classical,gap,700,0.9321585903083699,0.004255499769344742,0.8548,0.008818163074019449
classical,gap,800,0.931903632344161,0.007099816477605373,0.8588000000000001,0.01423235749972577
classical,gap,900,0.93259750528473,0.0021678580902367356,0.8539999999999999,0.010733126291999
classical,gap,1000,0.9335915186135451,0.0021942331393791548,0.8548,0.00844748483277716
classical,gap,1100,0.9324877765406399,0.002405279449576729,0.8640000000000001,0.007694153624668545
classical,gap,1200,0.9350631747107517,0.0017135011787433028,0.8572,0.00960000000000001
classical,gap,1300,0.932223136628423,0.004757302436897131,0.8468,0.019041008376659063
classical,gap,1400,0.9327879169288862,0.0015641465935936423,0.8528,0.013481839637082186
classical,gap,1500,0.9355472721111487,0.0021582855229851025,0.8624,0.006974238309665084
classical,mu,50,0.6300804211614236,0.06010104338824117,0.5811999999999999,0.06859271098301918
classical,mu,100,0.726253149021381,0.020665742440023362,0.6764,0.025024787711387268
classical,mu,150,0.705343647051224,0.06318167195476942,0.6592,0.05406070661765347
classical,mu,200,0.7663668367676507,0.01763653970045732,0.708,0.015543487382180338
classical,mu,250,0.7810525805826497,0.017615487564341375,0.7112,0.019208331525668736
classical,mu,300,0.7786528648020153,0.01842067083499847,0.6963999999999999,0.015304901175767157
classical,mu,350,0.7909970286157224,0.01631164737549296,0.7003999999999999,0.04856994955731373
classical,mu,400,0.7874927330275823,0.014064189643465144,0.7216,0.027052541470257457
classical,mu,500,0.7876413022414572,0.010903090448265427,0.7235999999999999,0.014277254638059811
classical,mu,600,0.7931464375686325,0.00898114052275327,0.7228,0.014062716664997569
classical,mu,700,0.7901637491118144,0.011639254914037197,0.7412000000000001,0.018529975715040767
classical,mu,800,0.7781974678638331,0.02733804798612384,0.7135999999999999,0.026514901470682466
classical,mu,900,0.7880514824623732,0.012231908754861775,0.7256,0.022032702966272678
classical,mu,1000,0.7994008784962212,0.024654817828436537,0.7292000000000001,0.028216307341677425
classical,mu,1100,0.791143982946838,0.011212841194931227,0.7219999999999999,0.032298606781098166
classical,mu,1200,0.7876283831793811,0.008205756889094357,0.7368,0.019701776569639617
classical,mu,1300,0.7959078870873975,0.015475563626459259,0.738,0.019473058311420953
classical,mu,1400,0.7878447774691557,0.015582478965687757,0.7316,0.02411306699696248
classical,mu,1500,0.7942817001485691,0.00981665751517435,0.7315999999999999,0.014444376068214243
